0.3730575,0.2359354,0.6265345,-1.3521345,-0.7451404,-0.1568684
0.3742288,0.2019897,0.6994026,-1.4911831,-1.0558544,-0.1289083
0.3743783,0.2445519,0.8809067,-1.9981978,-0.6760149,0.2581185
0.4784749,0.1703605,0.8418958,1.8436070,0.5344687,3.0825639
0.5532772,0.2073495,0.6617006,1.1378796,0.5190033,2.8641569
0.5806417,0.2308789,0.7473616,1.0826906,0.7558567,2.8702952
0.5616895,0.2420098,0.7970368,1.6576579,0.8113058,-3.0626985
0.5317523,0.2243903,0.8622621,1.8800041,0.9261223,-2.9691471
0.5464812,0.2363620,0.7412219,1.1568304,0.8008269,2.8014193
0.4135631,0.2170718,0.6489769,-1.3773702,-1.0091756,-0.1036586
0.5098456,0.2153259,0.6176283,0.6414574,0.5114722,2.3554719
0.5424174,0.2451510,0.8535995,1.7906013,0.7458246,-3.0419989
0.5628943,0.2364889,0.7268770,1.3764609,0.7753730,3.0089249
0.5488414,0.2092287,0.7759269,1.4841687,0.9729006,3.0467567
0.4876215,0.1894348,0.6566786,1.4822156,-0.7493990,3.0567155
